customer,churn, age, children, income,handset_age,smart_phone,homeowner,avg_overbundle_mins,avg_roamcalls,call_minutes_change_pct,bill_amount_change_pct,peak_offpeak_ratio,peak_offpeak_ratio_change_pct,avg_dropped_calls,last_month_customercare_calls,num_retention_calls,num_retention_offers_accepted
1, no,26,1,6,1812,0,1,0,0,-0.03,0,0.36239782,-6.330769732,0,0,0,0
2, no,36,1,9,544,1,0,0,0,0.395,-0.0062,5.586826347,7.499560298,0,0,0,0
3, no,74,0,7,138,1,0,14,0,-0.31,-0.0832,0.5,-5.94049255,4.33,0,0,0
4, no,30,0,6,122,1,0,0,0,-0.615,-0.1084,8.62966138,-0.066484703,5.33,0.33,0,0
5, no,32,0,7,10,1,0,4.75,1.92,-3.305,0.493,14.04268481,-7.20850186,14.67,0,0,0
6, no,40,1,7,161,1,0,0,0,1.17,-0.0122,5.396666667,-17.09342121,9.33,0,0,0
7, no,52,0,3,1619,0,0,0,0,1.48,-0.0502,0.78880554,-0.583748952,0,0,0,0
8, no,32,0,5,10,1,0,43.25,0,-0.185,-0.1878,3.367765671,-11.54565754,11.67,0.33,0,0
9, no,40,0,5,124,1,1,0,0,-8.435,-0.4238,4.309085722,21.52038004,30.33,4.67,0,0
10, no,42,1,4,517,1,0,0,0,-0.05,-0.0058,5.714285714,9.3693316,1.67,0,0,0
11, no,0,0,0,831,0,1,62.5,0.32,-1.14,-0.2794,5.016268429,-19.97076757,3.67,3.33,0,0
12, no,32,0,3,99,1,0,0,2.78,-1.72,-0.0614,2.774331792,16.14509074,13.67,1.33,0,0
13, no,54,0,7,443,1,0,5.75,0,2.775,0.0344,5.178287732,6.494714408,2.33,0,0,0
14, no,54,0,9,53,1,0,0,0,0.355,-0.0326,4.742602351,13.45114527,7,3,0,0
15, no,58,0,7,160,1,0,31.75,1.4,-1.255,-0.282,1.470957614,3.10607215,3,1,0,0
16, no,32,0,7,632,1,0,0,0,1.535,-0.6968,2.999703,9.355405247,5,0.33,0,0
17, no,40,1,5,1511,0,0,204,0,1.565,0.1444,3.642441485,-7.951182227,8.33,0,0,0
18, no,48,0,6,16,1,0,5.25,0,0.895,-0.064,5.674,-4.903634729,17.33,0,0,0
19, no,0,0,0,767,1,1,0,0,-0.235,-0.001,1.185,-2.719241654,2,0,0,0
20, no,50,0,6,341,1,0,25.75,0,4.1,0.2606,7.46969697,-8.148105559,18,0,0,0
21, no,38,0,5,268,1,0,0,0,5.01,-0.2296,2.68783016,11.34143888,19.67,2,0,0
22, no,38,0,6,872,1,0,69.25,0,-7.63,-0.4006,0.936390087,9.087285854,12.67,0,0,0
23, no,42,0,5,99,1,1,0,0,-7.005,-0.1406,3.383654938,-4.408207358,20,1,0,0
24, no,34,0,7,163,1,0,11.75,0,0.345,-0.0754,0,-3.466804728,0,0,0,0
25, no,34,0,6,147,1,0,650.25,0.47,15.41,3.3792,2.027390678,5.138812043,6,0.33,0,0
26, no,56,1,9,39,1,0,86.5,0,-14.73,-0.4508,3.188478261,0.290122716,33.67,0.67,1,1
27, no,40,1,7,162,1,0,4320.75,0,2.715,1.9452,8.603580247,2.794422755,88.33,0,0,0
28, no,0,0,0,620,1,1,0,6.91,1.845,0.2706,2.965429588,-11.70038701,9.33,0,0,0
29, no,48,0,1,664,1,0,121.25,0,2.185,0.0776,5.41750565,-5.004561757,51,2.67,0,0
30, no,50,1,6,1476,0,0,0,0,-0.025,0,1.904162633,-4.13888127,1.67,1,0,0
31, no,54,1,9,369,1,0,0,0.39,1.41,-0.0326,4.774897681,-3.955586105,4,0,0,0
32, no,48,0,7,1463,0,0,150.75,0,11.945,0.807,1.168110694,6.67384743,3.67,0,0,0
33, no,52,1,9,505,1,0,0,8.75,0.49,-0.2636,1.90937598,-0.550941863,19,0,0,0
34, no,42,0,4,461,1,0,86,0,-0.14,-0.672,1.06779661,0.316114296,5,0,0,0
35, no,0,0,0,60,1,1,77.75,0,-6.935,-1.4342,1.915643873,-9.311075944,9.33,3,0,0
36, no,48,0,9,152,1,0,20,3.78,-2.33,-0.0224,14.34159061,-15.6881413,6,0,0,0
37, no,0,0,0,685,0,1,0,0.29,-1.39,0.0098,1.973164957,-17.94435459,3,0,0,0
38, no,52,1,6,409,1,0,0,0,0,0,0,-10.19795425,0,0,0,0
39, no,26,0,3,91,1,1,234.5,4.28,8.7,0.2174,2.88934787,-5.000635528,38.67,0,0,0
40, no,40,0,9,341,1,0,163.75,0,-6.445,-0.836,4.08621992,-4.163124332,74.67,1,0,0
41, no,52,0,6,411,1,0,0,0,0.03,-0.005,1.016983627,-15.16025063,13.33,3,0,0
42, no,42,0,9,227,1,0,8.75,0,-4.12,-0.0502,1.233172703,-10.46702617,7.33,0,0,0
43, no,56,0,6,1356,0,0,39.5,0,1.49,0.4594,1.999210734,-8.942896485,3.33,0,0,0
44, no,44,1,9,80,1,0,0,0,0.235,0.0256,16.02145923,-17.57165664,0,0,0,0
45, no,36,1,7,111,1,0,0,0,-0.13,0,10.18555556,5.710178718,2,0,0,0
46, no,0,0,0,318,1,1,0,0,2.22,0.0148,1.113952084,-18.16206975,11,6.67,0,0
47, no,30,0,8,781,1,1,0,2.45,-1.26,-0.223,1.414045355,12.13424986,2.33,0,0,0
48, no,0,0,7,336,1,0,263.75,0,-1.565,-0.3018,2.809352757,5.988636092,14,2.67,0,0
49, no,58,0,8,78,1,0,72.5,0,2.76,0.3826,11.4207858,-16.84691844,19,0.33,0,0
50, no,0,1,7,268,1,1,0,0,0.61,0.0148,0.9666,2.879132999,1.33,0,0,0
51, no,52,1,7,388,1,0,56.75,0,4.275,1.0252,1.284634146,5.559370626,11,0.33,0,0
52, no,44,0,6,15,0,0,134.25,0.1,-4.175,1.4332,3.677182117,-4.267076709,5.67,1.33,0,0
53, no,42,1,9,399,1,0,0,0,0.795,-0.0184,5.435801312,-4.80252694,2.33,0.33,0,0
54, no,46,1,9,311,1,0,0,0,-1.315,-0.005,3.351944444,10.91440161,5.33,0,0,0
55, no,42,0,5,178,1,0,0,4.25,4.715,0.08,0.344112587,13.68597389,2.33,0,0,0
56, no,26,0,7,171,1,0,4.75,0,0.985,0.066,0,-6.740617929,0,0,0,0
57, no,0,0,0,636,1,1,0,1.51,-0.375,-0.0714,4.691056911,-4.64377622,29,0,0,0
58, no,48,1,5,348,1,0,137.5,0,-2.72,-0.5726,0.995786164,2.857143283,24.33,9,0,0
59, no,0,0,0,1375,0,1,0,0,0.115,0,2.255639098,2.653849163,0.33,0,0,0
60, no,0,0,0,293,1,1,0,0,-6.575,-0.0868,4.537338574,-8.366652745,17.33,0.33,0,0
61, no,54,1,9,1479,0,0,0,0,-0.04,-0.005,1.070663812,4.843270586,0,0,0,0
62, no,46,0,5,598,1,0,0,0,-0.185,0,1.713062099,-1.776012986,1,0,0,0
63, no,54,0,6,191,1,0,0,1.68,-1.285,0.1966,3.911687065,0.352619685,4.67,0,0,0
64, no,0,0,0,174,1,1,0,0.91,0.835,-0.0112,1.832903368,-19.74466069,24,0,0,0
65, no,46,1,8,338,1,0,0,0,-0.075,-0.0054,2.116402116,-13.83415153,1,0,0,0
66, no,22,1,7,203,0,0,0,0,0.41,-0.0104,11.665,3.596855218,0.67,0,0,0
67, no,48,0,6,62,1,0,11.5,0,-3.12,-0.0942,1.781119403,12.80156863,7,4,0,0
68, no,44,0,5,837,1,0,0,1.27,-0.9,0.0108,7.259444444,-0.568955243,3,0,0,0
69, no,0,0,0,139,1,1,285.25,15.96,1.56,0.7164,2.294955752,-2.396560558,15.33,3,0,0
70, no,48,1,6,809,0,0,0,0.59,-0.86,-0.0276,3.157063931,-2.835839024,0,0,0,0
71, no,38,0,8,392,1,0,154.75,0,9.665,1.1518,1.706555263,-1.231429005,18,0,0,0
72, no,38,1,9,656,1,0,70.25,0,0.65,0.2432,4.055555556,2.829465355,3,2.33,0,0
73, no,0,0,0,136,1,1,4.5,0,-1.125,-0.027,0.390625,3.287688607,6.33,0.33,0,0
74, no,46,0,6,202,1,0,2.75,1.48,3.1,0.0494,0.578702695,20.00737543,15.33,8,0,0
75, no,50,1,7,45,1,0,0,0.49,8.49,-0.1848,0.628913396,-10.44128491,13,0,1,1
76, no,30,0,7,334,1,1,0,0.2,0.12,-0.0104,0.519824687,10.37622824,16,6.67,0,0
77, no,0,0,0,32,1,1,12.5,0,3.295,0.2422,0.738398991,-16.14497346,2.67,0,0,0
